风格名称,lora名称,lora_weight,pt名称,before_prompt,after_prompt,negative_prompt,大模型,训练方式,任务类型,文生图生成器,图生图生成器
Caricatured 3D,3DExaggeration_SDXLIP_v1,1,3D_Exaggeration_xl_1024_ip_image_embeddings,Correct eyes,"very detailed, best quality, Masterpiece, photo realistic, MDR, UND, 4K, high resolution, more details, masterpiece, super detailed","Wrong eyes, no pupils, Blurred edges, text,  signature, watermark, username, low-quality, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Illustration Design"],SDXL-IP0.5,SDXL-IP0.5
Surreal Iridescence,Holographic_SDXLIP_v0,1,Holographic_xl_1024_ip_image_embeddings,,"Single entity, solo, high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Disfigured face, Multiple fingers, bad fingers, bad face,Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
Mysterious Night,LightArt_SDXLIP_v0,1,Light_Art_xl_1024_ip_image_embeddings,,"Single entity, solo, high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Disfigured face, Multiple fingers, bad fingers, bad face,Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
3D Pixel,3DPixel_SDXLIP_v1,1,3D_Pixel2_xl_1024_ip_image_embeddings,"3D Pixel, soft lighting","very detailed, best quality, Masterpiece, MDR, UND, 4K, high resolution, more details, masterpiece, super detailed","Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",Realistic,,["Illustration Design"],SDXL-IP0.4,SDXL-IP0.5
Majestic Logo,Wildlogo_SDXLIP_v0,1,Wild_logo_xl_1024_ip_image_embeddings,,"Single entity, solo, high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["LOGO Design"],SDXL-IP0.6,SDXL-IP0.6
8-Bit Arcade,8Bit_SDXLIP_v0,1,8_Bit_xl_1024_ip_image_embeddings,,"rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed.",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Classic Memphis,MemphisStyle_SDXLIP_v0,1,Memphis_Style_xl_1024_ip_image_embeddings,,"high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","bad face, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
American Story,AmericanStory_SDXLIP_v0,1,American_Story_xl_1024_ip_image_embeddings,,"Single entity, solo, high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Multiple fingers, bad fingers, bad face,Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.6,SDXL-IP0.6
Tiny World,TinyWorld_SDXLIP_v0,1,Tiny_World_xl_1024_ip_image_embeddings,,"high saturation color, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Disconnected lines, Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Abstract Art"],SDXL-IP0.6,SDXL-IP0.6
B&W Drawing,B-WDrawing_SDXLIP_v0,1,B-W_Drawing_xl_1024_ip_image_embeddings,,"Black and white pen drawing, everything is black and white, rich colors, Ultra high definition quality, Masterpiece, best quality, soft lighting, 4K","Excess limbs, three legs, Blurred edges, text, watermark, low-quality, signature, moiré pattern, downsampling, aliasing, distorted, blurry, glossy, blur, jpeg artifacts, compression artifacts, poorly drawn, low-resolution, bad, distortion, twisted, excessive, exaggerated pose, exaggerated limbs, grainy, symmetrical, duplicate, error, pattern, beginner, pixelated, fake, hyper, glitch, overexposed",SDXL,,["Illustration Design"],SDXL-IP0.7,SDXL-IP0.7
